points_mid,goal_diff_mid,shots_target_for_mid,goals_against_mid,form_index_mid,final_points
9.0,-32.0,52.0,47.0,0.2666666666666666,16.0
46.0,28.0,131.0,19.0,0.7333333333333333,84.0
39.0,21.0,99.0,17.0,0.7333333333333333,74.0
37.0,7.0,90.0,19.0,1.0,65.0
35.0,15.0,118.0,23.0,0.4666666666666667,69.0
32.0,11.0,86.0,21.0,0.8,66.0
31.0,6.0,111.0,26.0,0.3333333333333333,71.0
30.0,6.0,106.0,23.0,0.6,56.0
29.0,3.0,94.0,25.0,0.4666666666666667,54.0
29.0,-3.0,80.0,31.0,0.4666666666666667,66.0
27.0,1.0,93.0,28.0,0.2666666666666666,61.0
24.0,13.0,109.0,28.0,0.2666666666666666,38.0
24.0,-2.0,88.0,35.0,0.2666666666666666,56.0
23.0,-12.0,83.0,35.0,0.5333333333333333,43.0
22.0,-5.0,89.0,26.0,0.2,42.0
20.0,-7.0,95.0,27.0,0.5333333333333333,53.0
17.0,-10.0,63.0,25.0,0.2,48.0
16.0,-11.0,79.0,42.0,0.4666666666666667,42.0
15.0,-15.0,62.0,33.0,0.4,22.0
14.0,-20.0,61.0,42.0,0.0666666666666666,25.0
6.0,-27.0,57.0,39.0,0.0666666666666666,12.0
